"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","55","1000","30","791"
"300","55","1000","30","847"
"300","55","1000","30","827"
"300","55","1000","30","817"
"300","55","1000","30","808"
"300","55","1000","30","781"
"300","55","1000","30","792"
"300","55","1000","30","851"
"300","60","1000","30","837"
"300","60","1000","30","852"
"300","60","1000","30","841"
"300","60","1000","30","854"
"300","60","1000","30","835"
"300","60","1000","30","830"
"300","60","1000","30","858"
"300","60","1000","30","824"
"300","60","1000","30","834"
"300","60","1000","30","838"
"300","60","1000","30","850"
"300","60","1000","30","818"
"300","60","1000","30","843"
"300","60","1000","30","862"
"300","60","1000","30","819"
"300","60","1000","30","828"
"300","60","1000","30","834"
"300","60","1000","30","818"
"300","60","1000","30","790"
"300","60","1000","30","839"
"300","60","1000","30","833"
"300","60","1000","30","836"
"300","60","1000","30","839"
"300","60","1000","30","824"
"300","60","1000","30","865"
"300","60","1000","30","842"
"300","60","1000","30","816"
"300","60","1000","30","856"
"300","60","1000","30","856"
"300","60","1000","30","813"
"300","65","1000","30","857"
"300","65","1000","30","832"
"300","65","1000","30","858"
"300","65","1000","30","861"
"300","65","1000","30","866"
"300","65","1000","30","831"
"300","65","1000","30","863"
"300","65","1000","30","851"
"300","65","1000","30","815"
"300","65","1000","30","860"
"300","65","1000","30","812"
"300","65","1000","30","855"
"300","65","1000","30","826"
"300","65","1000","30","879"
"300","65","1000","30","850"
"300","65","1000","30","847"
"300","65","1000","30","871"
"300","65","1000","30","797"
"300","65","1000","30","834"
"300","65","1000","30","807"
"300","65","1000","30","810"
"300","65","1000","30","806"
"300","65","1000","30","843"
"300","65","1000","30","857"
"300","65","1000","30","867"
"300","65","1000","30","845"
"300","65","1000","30","800"
"300","65","1000","30","824"
"300","65","1000","30","848"
"300","65","1000","30","810"
"300","70","1000","30","859"
"300","70","1000","30","877"
"300","70","1000","30","862"
"300","70","1000","30","860"
"300","70","1000","30","883"
"300","70","1000","30","866"
"300","70","1000","30","831"
"300","70","1000","30","832"
"300","70","1000","30","865"
"300","70","1000","30","883"
"300","70","1000","30","858"
"300","70","1000","30","875"
